,comment,label
40,Cắm sừng ai thì cắm?😳?.... chứ anh đừng cắm sừng em🤪🤪🤪 Mèo méo meo mèo meo,Enjoyment
41,Nhờ có sự xuất hiên của chụy này mà tao biết trân trọng bà Pu hơn,Other
42,1:56 lăn như lau nhà,Other
43,"Đcm, còn dám lôi cả 2 Idol Thiên Lý Nhãn & Thuận Phong Nhĩ của tao vào cuộc nữa chứ. Bá dơ thiệt !!! 😡😡😡",Anger
44,"Ekip thật can đảm khi dám thực hiện ca khúc này. Đang hình ảnh model sang chảnh, chất phát ngất tự nhiên qua ca sĩ nửa mùa , phèn hết chỗ nói. Ai xúi c hát hãy nghỉ chơi ngay!",Sadness
45,Giờ nghe từ “cắm sừng” dị ứng vler 🥲,Fear
46,"thôi t lạy, nể thằng nhạc sĩ viết ra bài này, vậy mà có người nghe lọt tai được",Anger
47,Thằng chỉnh giọng cho chị này chắc trầm cảm cảm cả tuần:)),Other
48,Không muốn view tăng thêm nữa vào reaction mà xem ai cấm đâu :),Enjoyment
49,Từ bên anh Viruss qua :)),Other
50,lmao đây là một bài hát rất hợp để làm meme,Surprise
51,2:13 giờ mới để ý số phòng là ngày tháng sinh của mình =))),Surprise
52,khoong nên coi cái này trước khi ăn đâu nhó...ám ảnh thật sự=)),Surprise
53,T từ hiền hồ qua đây,Other
54,1:35 bài rap xàm nhất em từng nghe,Fear
55,Một sự pha trộn giữa Kill this love +Tripoo,Other
56,"Bài hát này dành cho hội yêu động vật (Tê giác). 
""Cắm sừng ai a nhé chứ đừng cưa sừng tê a nhé""
Không chỉ sáng tác, tác giả còn sáng tác cả Vũ điệu cắm sừng như để chỉ dẫn ""How to do"".
Gut chop bro!",Other
57,Lượt dislike nhiều hơn cả subscribe và like cộng lại nhân đôi 😂,Enjoyment
58,that's okay <3,Enjoyment
59,"Mình đọc trên Facebook về việc PPA khịa ViruSs thì có 1 bạn comment là : "" Lúc đầu nghe như đầu b và dần dần nghe nhiều thì cũng không khác gì lần đầu "" và mình đã hiểu tại sao bạn ý lại nói đúng vl :)",Surprise
60,2 tháng rồi vẫn nghe ko dô =))),Surprise
61,@@ nghe đoạn đừng cắm sừng em đừng cắm sừng em ớn vcl,Fear
62,💜💜✨,Other
63,Răng khôn vẫn là đỉnh nhất,Other
64,"Đổi tên thành: ""Phí thời gian vãi lồn"" đi, nó hợp với ca từ bài nhạc hơn đấy :)",Anger
65,"Bị ghét bị anti cũng là 1 cách marketing đó mấy em ạ,ekip họ có ngu đâu",Anger
66,cảm ơn anh RIN9 đã sáng tác ra một bài hát làm e thấy bất cứ bài hát nào đúng vần đúng điệu đều là một kiệt tác....,Surprise
67,Spotify mà dùng bài này làm quảng cáo thì chắc ai cũng phải mua Spotify Premium,Surprise
68,Mặc dù biết là thảm hoạ nhưng bị nghiện không thể không nghe cả chục lần trong 1 ngày :((((((,Sadness
69,Virus thay tiếng lòng cho bao người lại bị diva làng nhạc rác dỗi mới đau. Thương anh,Sadness
70,Tối ăn lẩu xong tự dưng thấy bài này rồi xem .,Other
71,"2:04 ối zồi ôi , trời ơi, như vậy là thi học kỳ 1,2  lớp 11, 12 , thpt quốc gia rớt  chắc luôn",Surprise
72,Vâng tôi là một trong những thành viên của hội bảo vệ PPA(P)- Pineapple pen Apple (pen),Other
73,"Không phải là tình yêu mong manh, mà bạn chọn phải người lăng nhăng thui",Fear
74,Chưa có bài nào khiến tôi chăm chỉ đọc bình luận như bài này,Other
75,từ recation qua đây 🤦‍♀️,Surprise
76,Nghe chữ cắm sừng xg đói bụng quá:),Surprise
77,"0:53 bà chị thứ nhất với thứ 2 mặc đồ na ná giống của Jennie trong MV Kill This Love của Black Pink nhỉ, cả vũ đạo nữa",Disgust
78,"cho những ai chưa biết đoạn 1:43 lấy ở đâu thì đây nhé ""Ylvis - The Fox"" - 0:56.",Other
79,"mới đầu nghe thành:
cơm sườn hay cơm tấm
cho e oder một bịch nước mắm,
cơm sườn hay cơm tấm ",Enjoyment
80,nghe đoạn nhạc chỗ điệp khúc Cắm sừng ai thì cắm .... làm mình liên tưởng sang bài của Trouble Maker =)))),Other
81,3:18 giống kết thúc bài hát trong ICY của ITZY,Enjoyment
82,"T từ bên ngoài địa cầu về đây để phân tích bài này, r trả đĩa bay cho t về",Enjoyment
83,Lạy chị  ITZY của em....,Enjoyment
84,VIẾT RAP MÀ QUÊN BỎ CHẤT XÁM LÀ ĐÂY:>>,Sadness
85,Má nó!  Tui nghe xong bài này rồi 2 ngày sau tui bị bạn gái tui cắm nguyên cái sừng to VL! WHAT THE F*CK! Mốt chắc tui cho thằng bạn trai mới của bạn gái tui nghe bài này quá!,Anger
86,"Sau 1 tháng, dislike mới gấp có 4 lần like. Ace ơi cố lên",Enjoyment
87,":) tôi nhìn thấy ""anh Kẹo dẻo"" phak ke :>",Other
88,"Nhìn chị có nét giống chị ChiPu lắm á, bài hát hay như vậy sao tới giờ em mới được nghe trời ơi.Thich style với cách hát của chị, giống chị ChiPu idol em!!<333",Enjoyment
89,"Outfit: Black Pink
Vũ đạo: ITZY và Twice 
Nhạc : Trouble Maker
Vl :)))",Surprise
90,Nghe nhạc Việt mà phải bật vietsub :))),Enjoyment
91,"Mình tưng một thời rất thích bạn ý khi tham gia The Face Viet Nam. Thế mà bây giờ, chán.",Fear
92,Tính ra 1 bài nhạc chế còn hot hơn nxx,Fear
93,Ơ nhưng mà bị cắm sừng xong nghe đồng cảm với cuốn hơn ý :'<<,Sadness
94,"Như vậy qua MV trên ta đã được đi vòng quanh thế giới với hình ảnh của Marshmallow, ITZY trong Dalla Dalla và ICY :(( cùng với hình ảnh Mago - GFriend, và hình ảnh Jennie - Kill this love :))) thấp thoáng bóng dáng Boom Boom Momoland ( hay violeta Iz*one gì đó ) MV mang đậm nét nghệ thuật và đậm sắc thái RANDOM DANCE KPOP ;))",Sadness
95,Nghe bài này xong fai bật All right Lim Kim nghe lại ặc,Surprise
96,Đỉnh làm thêm mv đi chị,Other
97,Ủa sao k ai tặng anh Marsmellow của tui 1 lời có cánh nào hết vậy?,Other
98,t đang ngồi xem cái video này bỗng tự nhiên bị cắm sừng,Anger
99,"Rap không cần vần
Hát không cần beat:"")",Sadness
100,Amen 🙏,Other
101,Nghe đi nghe lại vẫn hay :3,Enjoyment
102,Tui cũng mới bị cắm sừng. Nghe mà 😭,Sadness
103,"Cái đoạn : ""cắm sừng ai thì cắm chứ anh đừng cắm sừng em anh nhé"" ... Nghe quen quen giống 1 bài hát nào đó",Surprise
104,"“ Sao đất nước tôi lại có cái bài hát như này vậy trời “ 
- Trích ViruSs 2021 :))",Enjoyment
105,"""sừng không tự nhiên sinh ra, sừng không tự nhiên mất đi mà chỉ là chuyển từ đầu người này sang đầu người khác""
""lòng chung thuỷ của người đàn ông đôi khi thật mỏng manh như cái khoá kéo quần của anh ta phải không""",Surprise
106,Rapper đỉnh nhất việt nam :),Surprise
107,"thằng bạn tao bị táo bón 1 tuần nay, cảm ơn PPA đã cho nó có cơ hội cười ẻ=))",Enjoyment
108,Làm người mẫu tiếp tục thì êm rồi chuyển qua ca hát thất bại toàn tập :((,Sadness
109,Lần đầu tiên dislike 👎,Anger
110,kill this love phiên bản vietsub phèn trúa:'((,Sadness
111,"Làm ơn xem lại mình hộ cái, xong r thik ra mv j thì ra sau, nghe thấy sợ lắm r",Fear
112,tui nghe cũng vui tai mà =)),Enjoyment
113,Nhà chipu đợt này thiếu gạch xây nhà là cái chắc 😅,Other
114,"""Cơm sườn hay cơm tấm chứ em thì cơm sườn chan nước mắm"" =)))) Bài hát của chị cứ sượng trân",Enjoyment
115,0:09 Nụ cười ae với Sơn Tùng:)),Other
116,5 tr lượt xem rồi ???,Other
117,thật là mong muốn chị Hà cho PPA lời khuyên ghê ...,Other
118,"rap không cần vần, hát ko cần beat :))))",Enjoyment
119,Đoạn cao trào của Hiền Hồ hay quá đi mất,Enjoyment
