,comment,label
38,"Tiếc mục hay nhất rồi
Hiền Hồ hát đỉnh quá từ nốt trầm tới nốt cao luôn",Enjoyment
39,Nhìn quân hát theo hiền hồ dễ thương quá chừng❤ ❤ ❤. Bản live đỉnh cả về kĩ thuật và cảm xúc....nghiện,Enjoyment
40,trời ơi live ko khác j thu trên mv luôn ạ đỉnh thiệt sự,Enjoyment
41,41:35 câu thả thính 2019: Thà rằng cô đơn vì không yêu ai cả. Chứ chẳng muốn bản thân yêu ai đó rồi mà vẫn thấy cô đơn,Other
42,Đã dặn dò kỹ lúc hát ko híp mắt mà vẫn híp mắt vào :))))))),Surprise
43,Như v mới gọi là ca sĩ chứ 🙂 hy vọng nhiều người học hỏi :)),Surprise
44,Hiền hồ lên tone cao ₫ỉnh của ₫ỉnh,Surprise
45,Đoạn nốt cao của Hiền Hồ nghe 100 lần sởn da gà cả 100 lần 😭😭 quả đỉnh huhuhu,Sadness
46,Khúc cuối Hiền Hồ vào nghe mà lạnh xương,Surprise
47,"Hiền Hồ xinh, hát hay và quá là dễ thương",Enjoyment
48,Khi xem MV của Hiền Hồ mình đã khóc rất nhiều lần.  HH live bài này quá đỉnh. Nhưng phần live của Quân lại chạm tới tim mình nhiều hơn. Rất buồn với đoạn của Quân.,Sadness
49,Chả biết Replay lần thứ mấy rồi nữa ❤️,Other
50,"Ít khi cmt lắm nhưng mà sân khấu này tuyệt quá, Hiền Hồ live hay khủng khiếp nên phải cmt một cái T^T trong 3 ngày mà xem chắc cỡ chục lần rồi á... 2 anh chị kết hợp quá đỉnh luôn",Enjoyment
51,Đoạn feel Con sẽ đợi mà reply cả mấy chục lần,Surprise
52,Đoạn lên tông của bé Hiền nghe mà nổi da gà. Em hát quá tốt. Mau ra Hn để đc đi nghe bé hát nà.,Surprise
53,"sau năm nào tiết mục của Hiền Hồ cũng đỉnh hết á 😘
iu ghê 💕💕",Enjoyment
54,Mn ơi hôm nay là sinh nhật cj Hiền Hồ mn ạ 26/02/1997,Other
55,5:07 uầy đỉnh quá,Other
56,"Ai còn nge điểm danh

⚓⚓⚓⚓⚓⚓⚓⚓⚓⚓⚓⚓",Other
57,"Bản mashup này thực sự hay và đã để lại ấn tượng sâu sắc với bản thân mình!!! 
❤❤",Surprise
58,"Có ai mong anh Quân với chị Hiên Hồ ra  một cái mv cùng nhau như mik ko
Hay thật sự",Surprise
59,Hát live còn hay hơn cả bản thu 🤣🤣🤣 quá đỉnh Hiền Hồ ơi 😍😍😍,Enjoyment
60,"Quân AP nhìn phong độ nam tính
Hiền Hồ thì dễ thương nhẹ nhàng
Kết hợp giọng hát nghe hay lắm ạ❤",Enjoyment
61,Ai còn xem ko,Other
62,"2 người Hát đỉnh thật sự💕
Quân ap đẹp chaiiiii",Enjoyment
63,Tiết mục đinh nhất sóng 21 năm nay ❤️,Surprise
64,"bản live này đỉnh thiệt, tui coi 20 lần lun ời",Surprise
65,"Đoan cuối hay dã man, nổi da gà lun, 2 bạn háy tình cảm quá",Enjoyment
66,"Ôi mẹ ơi, live đỉnh v huhu nghe mướt mượt tai từng nốt 😂😂😂😂",Surprise
67,Nghiện vẻ đẹp trai của ông này ghê. K quá sang . Duyên và nhìn người rất hiền,Surprise
68,"Tiết mục đỉnh nhất của Sóng 21, tuyệt vời 🍀",Enjoyment
69,"Hiền Hồ hát lên là nổi hết da gà.
Chị hát hay quá♥️",Enjoyment
70,"3:15 B.e.S.T f'u""l'l D.a.T.i.n.G h.o.T G.i.r.L's —L—o—V—e—S—e-X———❤️😘 ..👍 Clickhere : hotgirls.to",Other
71,Má thở cũng thấu hay nữa love Hiền,Enjoyment
72,bài hát tâm trạng khi cả 2 quá nhập tâm.. việt nam cảm ơn 2 em,Enjoyment
73,"Không lẽ đẩy thuyển ta , chứ đẹp đôi dã man
#13 rồi nè ><",Enjoyment
74,"06:52 Chỉ cần anh nói yêu, em sẽ bám theo anh suốt đời 🔪",Other
75,Hiền Hồ  quá xuất sắc ❤️❤️❤️,Enjoyment
76,Ngày cũng vào nghe 2 bạn này hát live nỗi hết da gà,Surprise
77,Cứ 23h hơn Nghe đi nghe lại vẫn không chán là sao ae,Other
78,"Quân đẹp trai quá giọng ấm nữa, Hiền Hồ thì đỉnh của đỉnh luôn",Surprise
79,14:46  “Cậu giống như Google Chrome vậy”? – “Là sao?” – “Bởi cậu là tất cả những gì tớ tìm kiếm. 🖊,Other
80,Ai ngày nào vào cũng nghe (:,Sadness
81,Làm sao có thể hay đến v được nhỉ 😭,Enjoyment
82,Hiền Hồ - idol số 1 mãi yêu 😘😘😘😘😘,Enjoyment
83,Giọng Hiền Hồ live đã đỉnh đã dị hightone có Quân AP bè nó lại gọi là gút chóp=))) mog 2 bạn này collab ghê :))),Surprise
84,Đoạn cao trào Hiền Hồ thật tuyệt. Đỉnh của chóp 🤎,Surprise
85,"Coi từ lúc mới up , mấy trăm nghìn giờ 4 triệu mấy ròi ... 
Ngày nào cũng nghe hết . Nghiện đoạn bè thật sự .",Surprise
86,"Nghe đoạn cao trào của HH nổi hết da gà, e hát xuất sắc 👍. Giọng hay, rất có hồn... Nghe miết... Trước thích giọng Uyên Linh, rồi Hương Tràm và giờ HH... Toàn đỉnh ....",Surprise
87,04:12 Thời gian quyết định người sẽ gặpái tim quyết định người Bạn muốn ở bên. ❕,Other
88,"Cả Quân với Hiền lên nốt cao quá ổn luôn. Hai bài này, hai người này kết hợp tuyệt vời luonn. Reply hoài không chánn",Surprise
89,"Thân hình mỏng, giọng hát không hề mỏng.. nghe mà thốn thốn điếng điếng ❤️❤️",Enjoyment
90,2 bài này hát live  như này mới thấm đc hết cái hay. Đỉnh của đỉnh,Enjoyment
91,"Khúc chị Hiền Hồ lên cao mà nghe nổi da gà luôn , quá đỉnh",Enjoyment
92,Nghe bả hát mà tui nổi da gà luôn á..hay quá hiền hồ ơi😍,Enjoyment
93,"Cặp đôi hoàn hảo từ giọng hát tới nhan sắc quá xứng đôi hy vọng sẽ có thêm nhiều sản phẩm mới với sự kết hợp của 2 em ,chúc 2 em năm mới nhiều thành công ❤️❤️❤️",Surprise
94,Sự kết hợp tuyệt vời! Cả về vẻ ngoài lẫn giọng hát. Live quá tuyệt. 😍,Enjoyment
95,Đẩy thuyền cho 2 bạn ấy đẹp đôi hát hay đúng là cực phẩm mà,Surprise
96,Live đỉnh quá huhuuu,Enjoyment
97,mỗi tối đều nghe và lần nào nghe củng nổi da gà hết :))),Enjoyment
98,Với mình thì đây là tiết mục ca nhạc hay nhất Sóng 21,Other
99,"Thật sự cảm thấy hạnh phúc khi nghe được phiên bản tuyệt vời này. Một lần nghe lại là một lần nổi da gà, cảm xúc mà bài hát mang lại cực kỳ ấn tượng. Xin cảm ơn vì tất cả <3",Other
100,Má ơi chị HH hát live hay quá,Enjoyment
101,đã đang nge cả trăm lần đều khóc vi thây tôi ở đó... đau lăm :(,Sadness
102,"22:30  Em nên vui vẻ vì chúng ta là bạn bè, hay là nên buồn khi chúng ta chỉ là bạn bè? 😅",Other
103,"Nghe đi nghe lại hơn chục lần, mà lần nào Hiền Hồ lên nốt cao cũng nổi hết cả da gà. Quá xuất sắc",Surprise
104,02:16 Ngược đời ngược nắng đi tìm anh 🐦,Other
105,"Tự nhiên muốn đẩy thuyền cặp này ghê, lúc anh Quân nhìn chị Hiền Hồ cười mà thấy sự dịu dàng của anh á 😍😍",Enjoyment
106,"Trời ơi, cứ nghe c hiền hồ hát là lại nổi da gà da vịt, quá xuất sắc ❤️",Enjoyment
107,Có ai bị nổi gai đoạn cuối ko! Phê v😜,Surprise
108,"Mê quân a.p 😂 hát ấm quá luôn, giọng nam cao nhưng hát nghe giọng ấm. Hiền hồ cất điệp khúc lên thắm thiết luôn quá hay luôn",Enjoyment
